timestamp,capteurA,capteurB,PIR,label
2850968,0,1,1,rien
2851174,1,1,1,rien
2851380,1,1,1,rien
2851585,1,1,1,rien
2851791,1,1,1,rien
2851996,1,0,1,rien
2852201,1,0,1,rien
2852407,1,1,1,rien
2852612,0,1,1,sortie
2852817,0,1,1,rien
2853023,0,1,1,rien
2853228,1,1,1,rien
2853433,1,1,1,rien
2853638,1,1,1,rien
2853844,1,1,1,rien
2854049,1,1,1,rien
2854255,1,1,1,rien
2854461,1,0,1,rien
2854666,1,0,1,rien
2854872,1,1,1,rien
2855077,0,1,1,sortie
2855282,0,1,1,rien
2855488,0,1,1,rien
2855694,1,1,1,rien
2855899,1,1,1,rien
2856105,1,1,1,rien
2856311,1,1,1,rien
2856516,1,1,1,rien
2856722,1,0,1,rien
2856927,1,0,1,rien
2857132,1,1,1,rien
2857338,1,1,1,rien
2857544,0,1,1,sortie
2857749,0,1,1,rien
2857955,0,1,1,rien
2858163,0,1,1,rien
2858369,1,1,1,rien
2858575,1,1,1,rien
2858781,1,1,1,rien
2858987,1,1,1,rien
2859193,1,1,1,rien
2859399,1,0,1,rien
2859604,1,0,1,rien
2859810,1,1,1,rien
2860016,1,1,1,rien
2860221,0,1,1,sortie
2860427,0,1,1,rien
2860633,0,1,1,rien
2860838,1,1,1,rien
2861044,1,1,1,rien
2861248,1,1,1,rien
2861454,1,1,1,rien
2861660,1,1,1,rien
2861866,1,0,1,rien
2862071,1,0,1,rien
2862277,1,1,1,rien
2862483,1,1,1,rien
2862688,0,1,1,sortie
2862898,0,1,1,rien
2863101,0,1,1,rien
2863307,1,1,1,rien
2863513,1,1,1,rien
2863719,1,1,1,rien
2863925,1,1,1,rien
2864131,1,0,1,rien
2864337,1,0,1,rien
2864543,1,1,1,rien
2864749,1,1,1,rien
2864955,0,1,1,sortie
2865161,0,1,1,rien
2865367,1,1,1,rien
2865573,1,1,1,rien
2865778,1,1,1,rien
2865984,1,1,1,rien
2866190,1,0,1,rien
2866396,1,0,1,rien
2866602,1,1,1,rien
2866808,0,1,1,sortie
2867014,0,1,1,rien
2867220,0,1,1,rien
2867426,0,1,1,rien
2867632,0,1,1,rien
2867838,1,1,1,rien
2868044,1,1,1,rien
2868250,1,1,1,rien
2868456,1,1,1,rien
2868662,1,1,1,rien
2868868,1,1,1,rien
2869074,1,1,1,rien
2869280,1,1,1,rien
2869486,1,1,1,rien
2869692,1,0,1,rien
2869898,1,0,1,rien
2870104,1,1,1,rien
2870310,1,1,1,rien
2870516,0,1,1,sortie
2870721,0,1,1,rien
2870927,0,1,1,rien
2871133,1,1,1,rien
2871338,1,1,1,rien
2871544,1,1,1,rien
2871749,1,1,1,rien
2871955,1,1,1,rien
2872161,1,1,1,rien
2872367,1,0,1,rien
2872572,1,0,1,rien
2872778,1,1,1,rien
2872984,1,1,1,rien
2873190,0,1,1,sortie
2873396,0,1,1,rien
2873602,0,1,1,rien
2873807,1,1,1,rien
2874013,1,1,1,rien
2874219,1,1,1,rien
2874424,1,1,1,rien
2874629,1,1,1,rien
2874835,1,0,1,rien
2875040,1,1,1,rien
2875245,1,1,1,rien
2875451,0,1,1,sortie
2875657,0,1,1,rien
2875862,0,1,1,rien
2876068,1,1,1,rien
2876273,1,1,1,rien
2876478,1,1,1,rien
2876683,1,1,1,rien
2876889,1,1,1,rien
2877094,1,1,1,rien
2877300,1,0,1,rien
2877506,1,0,1,rien
2877711,1,1,1,rien
2877917,1,1,1,rien
2878127,0,1,1,sortie
2878329,0,1,1,rien
2878535,0,1,1,rien
2878741,1,1,1,rien
2878946,1,1,1,rien
2879152,1,1,1,rien
